PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
9,17,0,-3972217.678,18,17,18,33,0,-0.791,17681.04379,-7.84E-05,-1.18E-11,0,520.9916351,7.302057583,9.116376258,NLOS
74,41,0,-789112.3606,31,31,31,37,30,-0.785,18651.55778,3.67E-05,1.82E-12,0,452.0575763,-0.328324564,5.116379928,NLOS
23,48,0,-3847544.654,20,19,21,40,18,-0.785,17888.91502,-8.68E-05,6.39E-13,0,282.6427748,2.648399461,206.8324628,NLOS
73,20,0,-3839711.42,20,19,21,28,13,-0.757,18579.66436,0,0,0,379.2642383,-9.315407507,-36191.64824,NLOS
73,20,0,4407818.81,27,26,26,34,25,-0.727,18588.53034,0,0,0,387.2308407,24.43030483,-9029958.369,NLOS
73,20,0,-2456451.433,18,17,27,31,7,-0.726,18529.93445,0,0,0,329.8341216,-13.67070676,-36237.71415,NLOS
8,50,0,-3307209.473,24,23,24,38,10,-0.722,18038.0575,1.72E-05,4.81E-12,0,149.9728324,-13.67009807,658.4412739,NLOS
74,40,0,-1771889.619,39,38,39,41,30,-0.719,18657.04213,3.67E-05,1.82E-12,0,457.5419267,2.869208355,9.063739482,NLOS
9,17,0,-3899451.294,19,18,20,33,0,-0.719,17679.64794,-7.84E-05,-1.17E-11,0,509.9096093,25.54980493,38.95094587,NLOS
8,50,0,-5072474.965,15,14,14,38,10,-0.699,18049.2304,1.72E-05,4.81E-12,0,144.7274244,-1.159320459,455.8817272,NLOS
8,50,0,-3525591.723,16,15,15,38,10,-0.697,18040.44139,1.72E-05,4.81E-12,0,188.7994219,-0.388643015,637.1070768,NLOS
8,50,0,-3398229.991,23,16,24,38,10,-0.678,18038.44137,1.72E-05,4.81E-12,0,169.4536454,-11.86129208,678.4650617,NLOS
9,17,0,-4427322.515,24,23,24,33,0,-0.678,17681.74752,-7.84E-05,-1.18E-11,0,523.9032655,-15.51120477,87.37420107,NLOS
73,20,0,-3457734.011,19,19,20,28,13,-0.676,18565.48294,0,0,0,364.7830185,-5.856744085,-35965.15169,NLOS
73,21,0,2416046.964,24,23,24,28,13,-0.674,18559.30123,0,0,0,360.6998581,2.233627871,-3034173.144,NLOS
9,16,0,-3044069.121,27,26,27,33,0,-0.673,17677.96265,-7.84E-05,-1.17E-11,0,546.7971519,3.501927014,61.9589052,NLOS
8,50,0,-3416442.636,15,14,24,38,10,-0.66,18037.77178,1.72E-05,4.81E-12,0,149.2263722,20.22727314,690.4121124,NLOS
17,14,0,-3358067.449,23,22,31,41,20,-0.649,18126.92393,-1.54E-04,-1.01E-12,0,44.93417034,9.808046468,114.1173911,NLOS
9,17,0,-5355543.52,19,19,29,33,0,-0.644,17682.99625,-7.84E-05,-1.18E-11,0,533.0105591,-4.340407573,57.51393391,NLOS
17,14,0,-4104274.256,23,22,23,41,0,-0.629,18131.14141,-1.54E-04,-1.03E-12,0,10.14067432,64.51908265,112.0011574,NLOS
73,20,0,-3967212.42,21,20,21,28,13,-0.617,18530.62637,0,0,0,329.3268669,-14.12865741,-36090.45081,NLOS
73,20,0,-3330165.351,24,23,24,28,13,-0.615,18584.01706,0,0,0,383.3171413,84.66634329,-36133.709,NLOS
73,20,0,-3348304.643,24,24,24,28,13,-0.605,18502.42159,0,0,0,301.7216745,-81.59546683,-36195.11629,NLOS
73,20,0,-1855879.716,27,26,27,31,7,-0.603,18554.71256,0,0,0,354.6122244,1.271071844,-36207.91861,NLOS
9,17,0,-4518319.768,24,23,24,33,0,-0.599,17681.99597,-7.84E-05,-1.18E-11,0,493.699694,20.25056868,79.31053612,NLOS
73,20,0,-2219814.112,25,24,25,31,7,-0.592,18567.83043,0,0,0,367.4303068,11.96568408,-36274.93016,NLOS
9,17,0,-4117890.558,20,19,19,33,0,-0.59,17680.89513,-7.84E-05,-1.18E-11,0,496.7841311,-2.84368192,73.07156709,NLOS
1,77,0,-5407648.33,30,29,29,30,0,-0.58,18313.43731,-9.34E-06,1.21E-12,5.450532,2653.436349,-5537.742969,66.42503452,NLOS
73,20,0,-2820519.795,27,26,27,31,7,-0.565,18572.11342,0,0,0,371.7132956,-2.428589012,-36172.25839,NLOS
73,20,0,-1146269.635,25,24,25,30,10,-0.56,18524.08736,0,0,0,324.5866085,-130.6245436,-36025.77865,NLOS
73,20,0,-3712285.644,28,27,28,28,13,-0.56,18585.34638,0,0,0,385.2460436,105.5667738,-36216.12193,NLOS
74,41,0,-643508.6664,36,35,37,37,32,-0.539,18643.03227,3.67E-05,1.82E-12,0,444.4314416,-0.65886537,-6.473444965,NLOS
9,16,0,-2334214.412,25,24,24,33,0,-0.539,17675.83619,-7.84E-05,-1.17E-11,0,512.2798709,3.52914644,16.39723905,NLOS
73,20,0,-1546614.148,28,18,18,31,10,-0.53,18578.98606,0,0,0,378.8857243,-183.4446902,-36076.87753,NLOS
73,20,0,-1892281.087,27,27,27,31,7,-0.525,18567.4572,0,0,0,367.3568695,8.317420196,-36206.44924,NLOS
73,20,0,-4076343.524,19,18,24,28,7,-0.521,18593.80904,0,0,0,392.5095358,23.62247059,-36165.94472,NLOS
9,16,0,-1753088.743,25,24,25,33,0,-0.5,17674.07786,-7.79E-05,-1.08E-11,0,497.4833593,-1.090628248,1445.804061,NLOS
8,50,0,-3015806.071,24,23,24,38,10,-0.498,18036.52807,1.72E-05,4.81E-12,0,168.817946,-6.406730633,454.2276392,NLOS
9,16,0,-2370616.442,25,24,25,33,0,-0.486,17675.95121,-7.84E-05,-1.17E-11,0,523.0109518,0.085331317,18.21857006,NLOS
73,20,0,4553411.726,34,33,34,34,32,-0.483,18563.73358,0,0,0,362.4340813,-14.04742528,-9029941.789,NLOS
9,17,0,-5119110.377,22,21,19,33,0,-0.478,17683.38109,-7.84E-05,-1.18E-11,0,507.0758398,27.20338921,234.1148361,NLOS
9,16,0,-2898530.338,24,23,24,33,0,-0.474,17677.39078,-7.84E-05,-1.17E-11,0,496.8688431,-2.864170801,126.4050707,NLOS
9,17,0,-3462617.453,23,22,23,33,0,-0.471,17678.88447,-7.84E-05,-1.17E-11,0,529.9956726,-1.416776981,11.20044682,NLOS
74,40,0,-5448406.27,44,43,44,44,30,-0.471,18682.16961,3.67E-05,1.82E-12,0,480.5708588,0.964324769,29.71041817,NLOS
73,20,0,-2529242.946,29,28,29,31,7,-0.469,18572.66721,0,0,0,372.8666741,0.360716719,-36246.30232,NLOS
73,20,0,-3530508.095,26,25,26,28,13,-0.467,18534.57196,0,0,0,333.8720473,-23.79604213,-35994.16667,NLOS
73,20,0,-4039907.069,24,23,26,28,13,-0.467,18548.7693,0,0,0,347.4698017,6.213596277,-36200.40078,NLOS
73,20,0,-3766833.727,28,27,28,28,13,-0.459,18503.47699,0,0,0,303.3766607,-57.89393464,-36268.33998,NLOS
17,14,0,-4067777.801,22,21,20,41,0,-0.457,18130.69538,-1.54E-04,-1.03E-12,0,57.74601616,46254.67669,17.84652199,NLOS
9,16,0,-3171462.026,17,16,27,33,0,-0.455,17678.08058,-7.84E-05,-1.17E-11,0,512.4516735,1.08674572,54.73668938,NLOS
9,17,0,-5155557.245,23,22,23,33,0,-0.455,17683.26419,-7.84E-05,-1.18E-11,0,489.1966745,11.72256799,278.976132,NLOS
73,20,0,-4003542.648,26,21,21,28,13,-0.447,18539.24019,0,0,0,338.2404837,21.38451479,-36162.22253,NLOS
74,40,0,-4210735.606,42,41,42,43,30,-0.447,18673.44606,3.67E-05,1.82E-12,0,472.4468919,2.639574464,27.88902039,NLOS
9,17,0,-3389831.787,23,22,22,33,0,-0.445,17679.16246,-7.84E-05,-1.17E-11,0,523.8243744,3.350270759,23.55107788,NLOS
8,50,0,-5054267.433,14,13,14,38,10,-0.445,18049.92838,1.72E-05,4.81E-12,0,143.5681039,-17.49004686,449.3480754,NLOS
8,50,0,-5108880.421,24,23,21,38,10,-0.443,18049.59627,1.72E-05,4.81E-12,0,151.2117146,-3.389158379,459.0417528,NLOS
73,20,0,-2784098.672,27,26,27,31,7,-0.44,18569.72457,0,0,0,369.0246529,-4.207306791,-36192.28164,NLOS
73,20,0,-3675947.551,28,27,28,28,13,-0.44,18523.87626,0,0,0,323.4761364,-35.87886332,-36153.71432,NLOS
74,41,0,-989309.5314,38,37,38,38,30,-0.439,18650.06772,3.67E-05,1.82E-12,0,451.1670998,-0.02061877,10.78293151,NLOS
9,17,0,-3662883.861,21,20,21,33,0,-0.437,17679.54594,-7.84E-05,-1.17E-11,0,525.4244829,-0.056307383,74.66728707,NLOS
8,50,0,-2014887.352,26,26,28,38,24,-0.435,18029.98358,1.72E-05,4.81E-12,0,70.41987711,98.68753469,545.443645,NLOS
17,14,0,-5942625.739,22,21,31,41,0,-0.425,18141.98658,-1.54E-04,-1.08E-12,0,18.49957849,34.23289816,157.0847712,NLOS
9,17,0,-4008615.925,18,17,18,33,0,-0.424,17680.32871,-7.84E-05,-1.18E-11,0,528.2858254,-13.05419681,5.057084512,NLOS
73,20,0,2829521.02,28,27,28,28,13,-0.421,18537.10455,0,0,0,337.0042189,28.84834868,-6032018.277,NLOS
8,50,0,-2142317.576,18,17,26,38,10,-0.418,18031.68628,1.72E-05,4.81E-12,0,196.9549417,-20.59692903,575.874891,NLOS
9,16,0,-1152304.768,25,24,30,33,21,-0.416,17672.15336,-7.79E-05,-1.08E-11,0,501.8240534,5.972803026,1253.855353,NLOS
73,20,0,-3876155.144,20,19,20,28,13,-0.416,18616.53585,0,0,0,422.7311613,58.68425015,-36142.42917,NLOS
74,40,0,-4119735.112,42,41,42,43,30,-0.41,18673.25879,3.67E-05,1.82E-12,0,472.2596267,-1.559857246,32.99067632,NLOS
74,41,0,-443332.2213,36,35,36,36,32,-0.407,18646.25274,3.67E-05,1.82E-12,0,447.6519156,1.354316756,2.589861073,NLOS
73,21,0,2507046.841,23,22,22,28,13,-0.406,18552.04194,0,0,0.033881,353.4405675,-5.112913799,-3034180.014,NLOS
73,20,0,-2329064.53,28,27,29,31,7,-0.403,18571.04732,0,0,0,370.9469885,-0.095183779,-36224.81463,NLOS
9,17,0,-3590099.233,20,20,20,33,0,-0.398,17679.37908,-7.84E-05,-1.17E-11,0,492.7819883,5.880255885,87.7557662,NLOS
73,20,0,-3275639.184,26,25,27,28,13,-0.396,18587.48188,0,0,0,387.0817549,-22.66663795,-36058.07532,NLOS
73,21,0,2288656.334,10,10,23,28,10,-0.392,18554.81652,0,0,0,356.2151522,-16.41437738,-3034173.923,NLOS
74,40,0,-5830629.672,44,43,44,44,30,-0.391,18684.42575,3.67E-05,1.82E-12,0,483.1267929,0.502257396,27.33291406,NLOS
74,40,0,-5393801.038,44,43,44,44,30,-0.387,18680.85255,3.67E-05,1.82E-12,0,479.5535955,0.947399091,28.67558654,NLOS
9,17,0,-2.28E+07,22,7,23,33,0,-0.385,17683.33936,0,0,-11.826092,23014.69855,23504.46642,1.76E+07,NLOS
9,16,0,-1243402.34,25,24,25,33,21,-0.377,17672.45516,-7.79E-05,-1.08E-11,0,515.8221751,-2.770131085,1355.10615,NLOS
73,20,0,-1528397.483,18,17,18,31,10,-0.371,18762.73054,0,0,0,562.3304145,208.063994,-36093.44215,NLOS
9,16,0,-1825950.985,25,25,26,33,0,-0.369,17674.02692,-7.79E-05,-1.08E-11,0,520.9102989,0.572757486,1509.430352,NLOS
8,50,0,-5181692.884,27,26,26,38,10,-0.367,18049.79762,1.72E-05,4.81E-12,0,143.9699272,0.583311353,467.8112252,NLOS
73,20,0,-3821495.117,21,20,28,28,13,-0.366,18588.97977,0,0,0,388.5796458,-39.12122243,-36207.55074,NLOS
73,20,0,-1218819.603,31,24,23,31,10,-0.363,18414.6088,0,0,0,214.5084687,-17.90190601,-36274.11383,NLOS
23,48,0,-3829316.024,19,18,29,40,18,-0.362,17889.6917,-8.68E-05,6.39E-13,0,285.2911742,4.405854475,178.3028497,NLOS
1,77,2,-5462255.794,32,31,32,32,0,-0.359,18313.5812,-9.34E-06,1.21E-12,0,108.3669072,-2.182336524,69.69169188,NLOS
8,50,0,-4599144.771,27,27,27,38,10,-0.354,18046.70791,1.72E-05,4.81E-12,0,161.8208716,-5.290902652,352.8424437,NLOS
9,16,0,-3244239.17,22,21,21,33,0,-0.353,17678.4221,-7.84E-05,-1.17E-11,0,533.0179312,-12.83105844,32.36416413,NLOS
9,17,0,-5428378.237,27,17,17,33,0,-0.35,17684.55226,-7.84E-05,-1.18E-11,0,488.208396,35.5052525,87.91820009,NLOS
32,54,2,-5528419.043,45,44,45,48,40,-0.336,18400.97328,-2.30E-04,1.09E-11,0,199.3852542,-0.640539177,-6.036769569,NLOS
74,40,0,-1244102.772,40,39,40,40,30,-0.334,18648.12048,3.67E-05,1.82E-12,0,448.0206922,-4.03454975,17.31668422,NLOS
8,50,0,-3580108.782,28,27,27,38,10,-0.328,18039.95177,1.72E-05,4.81E-12,0,187.5621259,1.409038246,552.370456,NLOS
17,14,0,-5068941.367,27,26,35,41,0,-0.328,18136.91097,-1.54E-04,-1.05E-12,0,72.27119248,-55.09640782,123.1133314,NLOS
32,54,2,-5546619.872,45,44,45,48,40,-0.326,18400.648,-2.30E-04,1.09E-11,0,199.3644136,-0.020840563,-6.504286837,NLOS
73,20,0,-2656668.209,26,25,31,31,7,-0.325,18560.46941,0,0,0,360.6688709,-0.5365621,-36221.1428,NLOS
74,40,0,-4756767.563,41,40,41,43,30,-0.323,18678.49127,3.67E-05,1.82E-12,0,477.1923079,2.338358883,25.07419032,NLOS
8,50,0,-3471064.832,15,14,14,38,10,-0.322,18039.22452,1.72E-05,4.81E-12,0,166.801853,-18.79054881,712.6113137,NLOS
17,14,2,-4377237.385,33,32,33,41,0,-0.32,18133.54247,-1.54E-04,-1.03E-12,0,63.84218384,46266.34097,58.63140121,NLOS
73,20,0,4371387.743,27,26,27,34,25,-0.32,18579.99719,0,0,0,378.6976842,1.413467631,-9029929.901,NLOS
17,14,0,-3594675.112,28,27,27,41,0,-0.319,18128.41054,-1.54E-04,-1.01E-12,0,98.16805529,-12.497981,117.4746219,NLOS
74,40,0,-3719312.485,42,41,42,43,30,-0.317,18670.47963,3.67E-05,1.82E-12,0,470.0800523,0.363868669,19.15442665,NLOS
74,41,0,-861919.8028,37,36,36,37,30,-0.316,18648.86852,3.67E-05,1.82E-12,0,449.3683142,1.140612021,14.85761289,NLOS
32,54,2,-4836782.666,43,42,43,48,42,-0.316,18399.44834,-2.30E-04,1.09E-11,0,198.0577168,-0.038124669,-8.446323987,NLOS
73,20,0,-1783130.969,20,19,25,31,7,-0.315,18519.00081,0,0,0,319.2002677,-5.588013895,-36157.16397,NLOS
8,49,0,-922897.5244,28,28,29,32,24,-0.314,18023.05404,1.72E-05,4.81E-12,0,196.522395,6.438086316,532.4699829,NLOS
8,50,0,-3543763.718,25,24,16,38,10,-0.309,18040.12338,1.72E-05,4.81E-12,0,189.117426,-0.318004124,608.4029749,NLOS
9,17,2,-5501208.913,28,27,29,33,0,-0.309,17684.19712,-7.84E-05,-1.18E-11,0,521.0371739,-5.851196893,113.0819527,NLOS
32,54,2,-1651725.62,47,47,48,48,45,-0.306,18392.29396,-2.30E-04,1.08E-11,0,192.2630286,-0.026449304,-6.234845512,NLOS
23,48,2,-5485615.152,39,38,38,40,18,-0.303,17895.54314,-8.68E-05,6.40E-13,0,307.2088081,-0.502918787,194.5686238,NLOS
23,48,2,-4793959.94,39,38,39,40,18,-0.302,17893.00941,-8.68E-05,6.40E-13,0,307.1006347,-0.126216404,173.4408438,NLOS
9,17,2,-5483011.99,29,28,28,33,0,-0.302,17684.50714,-7.84E-05,-1.18E-11,0,515.185977,-7.658030868,117.4625212,NLOS
9,17,0,-3990423.061,18,17,18,33,0,-0.301,17680.74349,-7.84E-05,-1.18E-11,0,515.2316286,5.760006532,13.19696854,NLOS
9,17,0,-4445502.151,24,23,24,33,0,-0.301,17681.43837,-7.84E-05,-1.18E-11,0,540.1961416,-16.29287605,66.30594131,NLOS
9,17,2,-4791377.075,30,29,30,33,0,-0.301,17682.6901,-7.84E-05,-1.18E-11,0,514.924342,-3.936852895,116.7727075,NLOS
9,17,0,-5082714.278,19,18,31,33,0,-0.299,17682.97152,-7.84E-05,-1.18E-11,0,508.8173873,-49.34162504,240.3222234,NLOS
23,48,2,-5503814.831,39,38,39,40,18,-0.299,17895.24402,-8.68E-05,6.40E-13,0,307.2114819,-0.002673782,192.9477709,NLOS
9,16,0,-1807747.17,26,25,26,33,0,-0.297,17674.40557,-7.79E-05,-1.08E-11,0,521.4830564,-23.01250159,1505.119484,NLOS
8,50,0,-2105953.075,26,25,26,38,24,-0.297,18030.87779,1.72E-05,4.81E-12,0,175.7714652,-7.607421592,611.5724757,NLOS
9,16,0,-2279610.942,25,24,31,33,0,-0.297,17675.55506,-7.84E-05,-1.17E-11,0,542.3545771,-1.366836037,12.93828445,NLOS
9,16,0,-3062255.618,27,26,27,33,0,-0.297,17677.66526,-7.84E-05,-1.17E-11,0,536.2484509,10.54870097,48.05234202,NLOS
73,20,0,4152983.044,24,23,24,34,19,-0.297,18561.43016,0,0,0,362.5289922,43.19067122,-9029937.799,NLOS
23,47,2,-1608843.536,37,36,37,40,23,-0.295,17881.1722,-8.68E-05,6.37E-13,0,318.2675243,0.021345992,116.8338155,NLOS
9,16,0,-1680175.88,25,24,25,33,0,-0.293,17673.88255,-7.79E-05,-1.08E-11,0,497.3788685,-0.292240217,1332.155906,NLOS
11,49,2,-5626050.55,48,47,48,51,45,-0.293,18693.40397,-5.56E-04,-1.90E-12,0,491.8955301,-0.592355229,-22.38997639,NLOS
74,40,0,-2518096.049,42,41,42,42,30,-0.289,18660.36414,3.67E-05,1.82E-12,0,460.264349,-0.123225477,15.00030704,NLOS
73,20,0,-1637651.505,24,23,24,31,10,-0.287,18540.49033,0,0,0,340.6897926,-3.743532278,-36038.82336,NLOS
4,52,2,-4769749.933,48,47,48,50,46,-0.285,18696.70772,-6.77E-06,1.00E-12,0,495.4373192,0.02283996,-31.14970999,LOS
4,52,2,-5461386.923,51,51,51,51,46,-0.285,18699.99852,-6.77E-06,1.00E-12,0,498.4186663,-0.590107866,-28.2406354,LOS
17,14,2,-5505734.408,35,34,35,41,0,-0.285,18139.97596,-1.54E-04,-1.05E-12,0,60.53416965,-1.194072675,93.3523431,NLOS
73,20,0,-2074280.336,25,24,28,31,7,-0.284,18546.72588,0,0,0,346.9253373,-8.357641365,-36207.30385,NLOS
73,20,0,-2474623.352,19,18,18,31,7,-0.284,18534.65783,0,0,0,334.5574992,4.723377604,-36265.89554,NLOS
