system_time,#gps,#glonass,maxGPS_Cn0,maxGLONASS_Cn0,isGPSfix
1521977026305,14,10,0.0,0.0,false
1521977027311,14,10,0.0,0.0,false
1521977028307,14,10,0.0,0.0,false
1521977029305,14,10,0.0,0.0,false
1521977030315,14,10,0.0,0.0,false
1521977031312,14,10,0.0,0.0,false
1521977032307,14,10,0.0,0.0,false
1521977033316,14,10,0.0,0.0,false
1521977034305,14,10,0.0,0.0,false
1521977035307,14,10,0.0,0.0,false
1521977036309,14,10,0.0,0.0,false
1521977037308,14,10,0.0,0.0,false
1521977038310,14,10,0.0,0.0,false
1521977039307,14,10,0.0,0.0,false
1521977040315,14,10,0.0,0.0,false
1521977041311,14,10,0.0,0.0,false
1521977042309,14,10,0.0,0.0,false
1521977043311,14,10,0.0,0.0,false
1521977044311,14,10,0.0,0.0,false
1521977045310,14,10,0.0,0.0,false
1521977046310,14,10,0.0,0.0,false
1521977047305,14,10,0.0,0.0,false
1521977048310,14,10,0.0,0.0,false
1521977049306,14,10,0.0,0.0,false
1521977050307,14,10,0.0,0.0,false
1521977051309,14,10,0.0,0.0,false
1521977052307,14,10,0.0,0.0,false
1521977053309,14,10,0.0,0.0,false
1521977054309,14,10,0.0,0.0,false
1521977055308,14,10,0.0,0.0,false
1521977056309,14,10,0.0,0.0,false
1521977057307,14,10,0.0,0.0,false
1521977058307,14,10,0.0,0.0,false
1521977059305,14,10,0.0,0.0,false
1521977060311,14,10,0.0,0.0,false
1521977061306,14,10,0.0,0.0,false
1521977062308,14,10,0.0,0.0,false
1521977063308,14,10,0.0,0.0,false
1521977064305,14,10,0.0,0.0,false
1521977065316,14,10,0.0,0.0,false
1521977066308,14,10,0.0,0.0,false
1521977067309,14,10,0.0,0.0,false
1521977068310,14,10,0.0,0.0,false
1521977069309,14,10,0.0,0.0,false
1521977070311,14,10,0.0,0.0,false
1521977071307,14,10,0.0,0.0,false
1521977072306,14,10,0.0,0.0,false
1521977073307,14,10,0.0,0.0,false
1521977074309,14,10,0.0,0.0,false
1521977075311,14,10,0.0,0.0,false
1521977076308,14,10,0.0,0.0,false
1521977077310,14,10,0.0,0.0,false
1521977078308,14,10,0.0,0.0,false
1521977079305,14,10,0.0,0.0,false
1521977080305,14,10,0.0,0.0,false
1521977081306,14,10,0.0,0.0,false
1521977082310,14,10,0.0,0.0,false
1521977083306,14,10,0.0,0.0,false
1521977084312,14,10,0.0,0.0,false
1521977085313,9,10,0.0,0.0,false
1521977086309,9,10,0.0,0.0,false
1521977087303,9,10,0.0,0.0,false
1521977088309,9,10,22.200000762939453,0.0,false
1521977089307,9,10,22.200000762939453,0.0,false
1521977090306,9,10,22.200000762939453,0.0,false
1521977091327,9,10,22.200000762939453,0.0,false
1521977092306,9,10,21.200000762939453,0.0,false
1521977093304,9,10,17.799999237060547,0.0,false
1521977094309,9,10,19.200000762939453,0.0,false
1521977095310,9,10,25.600000381469727,0.0,false
1521977096312,9,10,26.799999237060547,0.0,false
1521977097304,9,10,26.700000762939453,0.0,false
1521977098310,9,10,22.299999237060547,0.0,false
1521977099309,9,10,24.200000762939453,0.0,false
1521977100309,9,10,23.700000762939453,0.0,false
1521977101308,9,10,21.100000381469727,0.0,false
1521977102305,9,10,20.200000762939453,0.0,false
1521977103306,9,10,18.600000381469727,0.0,false
1521977104320,9,10,17.700000762939453,0.0,false
1521977105310,9,10,19.200000762939453,0.0,false
1521977106307,9,10,17.799999237060547,0.0,false
1521977107306,9,10,21.899999618530273,0.0,false
1521977108309,9,10,21.200000762939453,0.0,false
1521977109305,9,10,18.899999618530273,0.0,false
1521977110310,9,10,18.899999618530273,0.0,false
1521977111307,9,10,18.899999618530273,0.0,false
1521977112305,9,10,16.799999237060547,0.0,false
1521977113306,9,10,16.799999237060547,0.0,false
1521977114347,9,10,15.100000381469727,0.0,false
1521977115312,9,10,15.100000381469727,0.0,false
1521977116316,9,10,18.5,0.0,false
1521977117305,9,10,20.200000762939453,0.0,false
1521977118304,9,10,20.5,0.0,false
1521977119309,9,10,21.0,0.0,false
1521977120304,9,10,21.5,0.0,false
1521977121308,9,10,22.700000762939453,0.0,false
1521977122305,9,10,22.700000762939453,0.0,false
1521977123305,9,10,17.600000381469727,0.0,false
1521977124309,9,10,17.600000381469727,0.0,false
1521977125310,9,10,17.600000381469727,0.0,false
1521977126312,9,10,14.800000190734863,0.0,false
1521977127311,9,10,17.100000381469727,0.0,false
1521977128308,9,10,17.899999618530273,0.0,false
1521977129311,9,10,19.5,0.0,false
1521977130310,9,10,17.0,0.0,false
1521977131310,9,10,17.0,0.0,false
1521977132309,9,10,16.600000381469727,0.0,false
1521977133309,9,10,16.600000381469727,0.0,false
1521977134309,9,10,17.5,0.0,false
1521977135316,9,10,18.200000762939453,0.0,false
1521977136310,9,10,17.899999618530273,0.0,false
1521977137315,9,10,19.700000762939453,0.0,false
1521977138312,9,10,19.799999237060547,0.0,false
1521977139312,9,10,17.0,0.0,false
1521977140315,9,10,17.0,0.0,false
1521977141312,9,10,16.600000381469727,0.0,false
1521977142309,9,10,18.600000381469727,0.0,false
1521977143313,9,10,20.299999237060547,0.0,false
1521977144312,9,10,19.0,0.0,false
1521977145316,9,10,19.200000762939453,0.0,false
1521977146309,9,10,18.600000381469727,0.0,false
1521977147315,9,10,19.5,0.0,false
1521977148312,9,10,19.5,0.0,false
1521977149321,9,10,19.5,0.0,false
1521977150315,9,10,14.5,0.0,false
1521977151310,9,10,14.5,0.0,false
1521977152309,9,10,14.5,0.0,false
1521977153310,9,10,18.399999618530273,0.0,false
1521977154309,9,10,18.700000762939453,0.0,false
1521977155314,9,10,18.700000762939453,0.0,false
1521977156311,9,10,17.5,0.0,false
1521977157311,9,10,17.0,0.0,false
1521977158312,9,10,21.200000762939453,0.0,false
1521977159311,9,10,18.299999237060547,0.0,false
1521977160318,9,10,21.700000762939453,0.0,false
1521977161309,9,10,20.299999237060547,0.0,false
1521977162310,9,10,17.399999618530273,0.0,false
1521977163310,9,10,21.600000381469727,0.0,false
1521977164312,9,10,23.200000762939453,0.0,false
1521977165314,9,10,25.200000762939453,0.0,false
1521977166310,9,10,24.799999237060547,0.0,false
1521977167310,9,10,25.399999618530273,0.0,false
1521977168311,9,10,23.0,0.0,false
1521977169310,9,10,21.200000762939453,0.0,false
1521977170309,9,10,17.0,0.0,false
1521977171304,9,10,17.700000762939453,0.0,false
1521977172305,9,10,17.700000762939453,0.0,false
1521977173303,9,10,17.700000762939453,0.0,false
1521977174303,9,10,17.700000762939453,0.0,false
1521977175304,9,10,17.700000762939453,0.0,false
1521977176307,9,10,17.700000762939453,0.0,false
1521977177304,9,10,17.700000762939453,0.0,false
1521977178305,9,10,17.700000762939453,0.0,false
1521977179304,9,10,17.700000762939453,0.0,false
1521977180303,9,10,17.700000762939453,0.0,false
1521977181306,9,10,12.699999809265137,0.0,false
1521977182311,9,10,12.699999809265137,0.0,false
1521977183305,9,10,12.699999809265137,0.0,false
1521977184304,9,10,12.699999809265137,0.0,false
1521977185303,9,10,13.800000190734863,0.0,false
1521977186304,9,10,13.800000190734863,0.0,false
1521977187303,9,10,16.100000381469727,0.0,false
1521977188302,9,10,16.100000381469727,0.0,false
1521977189307,9,10,18.100000381469727,0.0,false
1521977190304,9,10,25.5,0.0,false
1521977191305,9,10,21.899999618530273,0.0,false
1521977192305,9,10,21.600000381469727,0.0,false
1521977193305,9,10,27.899999618530273,0.0,false
1521977194306,9,10,26.600000381469727,0.0,false
1521977195303,9,10,26.600000381469727,0.0,false
1521977196305,9,10,26.600000381469727,0.0,false
1521977197309,9,10,26.600000381469727,0.0,false
1521977198309,9,10,17.799999237060547,0.0,false
1521977199303,9,10,23.399999618530273,0.0,false
1521977200304,9,10,23.399999618530273,0.0,false
1521977201305,9,10,14.800000190734863,0.0,false
1521977202305,9,10,21.399999618530273,0.0,false
1521977203304,9,10,20.899999618530273,0.0,false
1521977204304,9,10,22.0,0.0,false
1521977205303,9,10,20.0,0.0,false
1521977206303,9,10,20.799999237060547,0.0,false
1521977207305,9,10,21.600000381469727,0.0,false
1521977208306,9,10,24.299999237060547,0.0,false
1521977209307,9,10,23.700000762939453,0.0,false
1521977210305,9,10,23.600000381469727,0.0,false
1521977211305,9,10,17.399999618530273,0.0,false
1521977212304,9,10,17.399999618530273,0.0,false
1521977213303,9,10,15.199999809265137,0.0,false
1521977214304,9,10,23.5,0.0,false
1521977215306,9,10,23.5,0.0,false
1521977216304,9,10,23.5,0.0,false
1521977217304,9,10,23.5,0.0,false
1521977218304,9,10,20.200000762939453,0.0,false
1521977219305,9,10,27.0,0.0,false
1521977220314,9,10,21.200000762939453,0.0,false
1521977221306,9,10,29.899999618530273,0.0,false
1521977222304,9,10,32.0,0.0,false
1521977223305,9,10,23.200000762939453,0.0,false
1521977224303,9,10,23.700000762939453,0.0,false
1521977225303,9,10,20.799999237060547,0.0,false
1521977226306,9,10,20.799999237060547,0.0,false
1521977227306,9,10,19.700000762939453,0.0,false
1521977228305,9,10,23.700000762939453,0.0,false
1521977229305,9,10,26.299999237060547,0.0,false
1521977230306,9,10,24.299999237060547,0.0,false
1521977231307,9,10,17.0,0.0,false
1521977232308,9,10,17.399999618530273,0.0,false
1521977233308,9,10,19.799999237060547,0.0,false
1521977234307,9,10,16.799999237060547,0.0,false
1521977235310,9,10,20.399999618530273,0.0,false
1521977236305,9,10,18.899999618530273,0.0,false
1521977237307,9,10,18.899999618530273,0.0,false
1521977238303,9,10,18.899999618530273,0.0,false
1521977239304,9,10,15.399999618530273,0.0,false
1521977240304,9,10,15.399999618530273,0.0,false
1521977241304,9,10,16.600000381469727,0.0,false
1521977242306,9,10,19.700000762939453,0.0,false
1521977243304,9,10,19.700000762939453,0.0,false
1521977244309,9,10,19.700000762939453,0.0,false
1521977245310,9,10,19.700000762939453,0.0,false
1521977246305,9,10,19.700000762939453,0.0,false
1521977247310,9,10,19.700000762939453,0.0,false
1521977248305,9,10,19.700000762939453,0.0,false
1521977249305,9,10,19.700000762939453,0.0,false
1521977250304,9,10,19.700000762939453,0.0,false
1521977251305,9,10,19.700000762939453,0.0,false
1521977252304,9,10,12.600000381469727,0.0,false
1521977253307,9,10,17.899999618530273,0.0,false
1521977254303,9,10,17.899999618530273,0.0,false
1521977255309,9,10,17.899999618530273,0.0,false
1521977256306,9,10,17.899999618530273,0.0,false
1521977257308,9,10,17.899999618530273,0.0,false
1521977258303,9,10,13.0,0.0,false
1521977259303,9,10,16.899999618530273,0.0,false
1521977260307,9,10,17.100000381469727,0.0,false
1521977261306,9,10,17.299999237060547,0.0,false
1521977262303,9,10,18.0,0.0,false
1521977263309,9,10,18.299999237060547,0.0,false
1521977264308,9,10,18.600000381469727,0.0,false
1521977265303,9,10,19.600000381469727,0.0,false
1521977266303,9,10,18.100000381469727,0.0,false
1521977267304,9,10,17.200000762939453,0.0,false
1521977268304,9,10,17.200000762939453,0.0,false
1521977269303,9,10,16.399999618530273,0.0,false
1521977270302,9,10,16.399999618530273,0.0,false
1521977271305,9,10,16.700000762939453,0.0,false
1521977272304,9,10,16.700000762939453,0.0,false
1521977273306,9,10,16.700000762939453,0.0,false
1521977274306,9,10,16.700000762939453,0.0,false
1521977275303,9,10,16.700000762939453,0.0,false
1521977276307,9,10,14.399999618530273,0.0,false
1521977277306,9,10,19.5,0.0,false
1521977278303,9,10,19.5,0.0,false
1521977279305,9,10,19.5,0.0,false
1521977280305,9,10,17.299999237060547,0.0,false
1521977281304,9,10,22.700000762939453,0.0,false
1521977282302,9,10,18.5,0.0,false
1521977283305,9,10,18.5,0.0,false
1521977284306,9,10,18.5,0.0,false
1521977285304,9,10,18.5,0.0,false
1521977286304,9,10,18.5,0.0,false
1521977287305,9,10,18.5,0.0,false
1521977288303,9,10,18.5,0.0,false
1521977289308,9,10,13.300000190734863,0.0,false
1521977290304,9,10,24.0,0.0,false
1521977291304,9,10,22.899999618530273,0.0,false
1521977292305,9,10,17.100000381469727,0.0,false
1521977293302,9,10,17.100000381469727,0.0,false
1521977294306,9,10,16.399999618530273,0.0,false
1521977295310,9,10,17.799999237060547,0.0,false
1521977296304,9,10,17.799999237060547,0.0,false
1521977297304,9,10,15.899999618530273,0.0,false
1521977298313,9,10,15.899999618530273,0.0,false
1521977299303,9,10,15.899999618530273,0.0,false
1521977300306,9,10,15.899999618530273,0.0,false
1521977301304,9,10,15.899999618530273,0.0,false
1521977302306,9,10,15.899999618530273,0.0,false
