system_time,gps_time,latitude,longtide,altitude,sog,cog,accuracy
1521977963736,1521977964000,31.16399364,34.53423441,188.0,1.600000023841858,30.0,15.0
1521977964528,1521977965000,31.1639941,34.53425465,186.0,0.3199999928474426,30.399999618530273,14.0
1521977965531,1521977966000,31.16401128,34.5342676,186.0,0.6899999976158142,30.399999618530273,12.0
1521977966539,1521977967000,31.16402369,34.53428849,188.0,0.699999988079071,31.200000762939453,12.0
1521977967541,1521977968000,31.16402626,34.53427979,186.0,0.8899999856948853,29.899999618530273,11.0
1521977968531,1521977969000,31.16402836,34.53427276,186.0,0.17000000178813934,29.799999237060547,11.0
1521977969527,1521977970000,31.16402826,34.53426547,186.0,0.0,0.0,11.0
1521977970523,1521977971000,31.16402781,34.53425916,187.0,0.20000000298023224,30.200000762939453,11.0
1521977971524,1521977972000,31.16402716,34.53425391,187.0,0.20999999344348907,30.200000762939453,12.0
1521977972521,1521977973000,31.16402683,34.53425084,187.0,0.25,33.29999923706055,12.0
1521977973524,1521977974000,31.16402647,34.53424906,187.0,0.25999999046325684,35.099998474121094,12.0
1521977974532,1521977975000,31.1640363,34.53424766,186.0,0.3499999940395355,35.0,12.0
1521977975532,1521977976000,31.16404096,34.53424461,185.0,0.1899999976158142,35.0,12.0
1521977976535,1521977977000,31.16404008,34.53424206,184.0,0.0,0.0,12.0
1521977977539,1521977978000,31.16403966,34.53425321,184.0,0.7400000095367432,35.099998474121094,12.0
1521977978444,1521977979000,31.16404103,34.53426557,184.0,0.8299999833106995,35.099998474121094,12.0
1521977979411,1521977980000,31.16404139,34.53427877,184.0,0.9900000095367432,35.099998474121094,12.0
1521977980417,1521977981000,31.16404013,34.53429062,184.0,0.8899999856948853,32.70000076293945,13.0
1521977981425,1521977982000,31.16407418,34.53429938,184.0,2.75,39.400001525878906,12.0
1521977982425,1521977983000,31.16409382,34.53431219,184.0,1.399999976158142,39.599998474121094,12.0
1521977983422,1521977984000,31.16410376,34.53431957,183.0,1.340000033378601,39.400001525878906,12.0
1521977984424,1521977985000,31.16411213,34.53432425,183.0,1.2699999809265137,39.400001525878906,11.0
1521977985415,1521977986000,31.1641156,34.53432877,183.0,1.2000000476837158,39.400001525878906,12.0
1521977986427,1521977987000,31.16411883,34.53430983,182.0,0.8500000238418579,39.29999923706055,11.0
1521977987431,1521977988000,31.16411761,34.53429677,180.0,0.6399999856948853,39.20000076293945,12.0
1521977988424,1521977989000,31.16411912,34.53429271,179.0,0.7900000214576721,39.20000076293945,13.0
1521977989418,1521977990000,31.16412053,34.53428855,179.0,0.699999988079071,39.20000076293945,13.0
1521977990410,1521977991000,31.16411697,34.53428297,179.0,0.41999998688697815,39.20000076293945,14.0
1521977991420,1521977992000,31.1641223,34.53427941,179.0,0.8799999952316284,39.20000076293945,14.0
1521977992417,1521977993000,31.16413133,34.53429172,179.0,1.1799999475479126,39.20000076293945,14.0
1521977993496,1521977994000,31.16413722,34.53430379,179.0,1.0,39.20000076293945,14.0
1521977994422,1521977995000,31.16414435,34.53431609,179.0,1.159999966621399,39.29999923706055,13.0
1521977995421,1521977996000,31.16413924,34.53432498,178.0,0.7799999713897705,39.79999923706055,13.0
1521977996414,1521977997000,31.16413956,34.53431634,178.0,0.4699999988079071,40.70000076293945,13.0
1521977997419,1521977998000,31.16413799,34.53430878,177.0,0.38999998569488525,41.0,13.0
1521977998423,1521977999000,31.164136,34.53430245,177.0,0.3400000035762787,41.29999923706055,13.0
1521977999420,1521978000000,31.16412198,34.53429565,177.0,0.3400000035762787,41.400001525878906,14.0
1521978000416,1521978001000,31.16410326,34.5342888,178.0,0.7400000095367432,41.400001525878906,14.0
1521978001426,1521978002000,31.16408567,34.53427924,178.0,0.9399999976158142,41.5,13.0
1521978002421,1521978003000,31.16407981,34.53427217,177.0,0.5199999809265137,41.400001525878906,14.0
1521978003434,1521978004000,31.16407142,34.53426247,177.0,0.8299999833106995,41.400001525878906,14.0
1521978004436,1521978005000,31.16405961,34.5342738,178.0,0.8700000047683716,41.5,14.0
1521978005411,1521978006000,31.16405734,34.53428711,178.0,0.8799999952316284,41.5,13.0
1521978006418,1521978007000,31.16405709,34.53429218,175.0,0.6399999856948853,41.599998474121094,14.0
1521978007417,1521978008000,31.1640561,34.53429724,176.0,0.6299999952316284,42.0,18.0
1521978008430,1521978009000,31.16405147,34.53430133,176.0,0.6399999856948853,42.79999923706055,21.0
1521978009422,1521978010000,31.16404675,34.5343072,175.0,0.8500000238418579,43.70000076293945,20.0
1521978010407,1521978011000,31.16404289,34.53431305,175.0,0.6499999761581421,46.400001525878906,19.0
1521978011415,1521978012000,31.1640313,34.53431945,174.0,1.5800000429153442,47.0,19.0
1521978012414,1521978013000,31.16403837,34.53432286,175.0,0.18000000715255737,47.20000076293945,16.0
1521978013418,1521978014000,31.16404388,34.53432358,176.0,0.7300000190734863,47.20000076293945,17.0
1521978014415,1521978015000,31.1640483,34.53432366,176.0,0.5699999928474426,47.20000076293945,16.0
1521978015417,1521978016000,31.16403939,34.53431732,176.0,0.7300000190734863,47.20000076293945,17.0
1521978016436,1521978017000,31.16403483,34.53432407,176.0,0.8199999928474426,47.20000076293945,19.0
1521978017411,1521978018000,31.16402861,34.53432735,174.0,0.5799999833106995,47.099998474121094,18.0
1521978018414,1521978019000,31.16401765,34.53432833,175.0,0.6899999976158142,47.099998474121094,16.0
1521978019417,1521978020000,31.16400417,34.53434066,174.0,0.8500000238418579,47.099998474121094,16.0
1521978020421,1521978021000,31.16399741,34.53434844,175.0,0.3799999952316284,47.099998474121094,16.0
1521978021410,1521978022000,31.163989,34.53435805,174.0,0.49000000953674316,47.099998474121094,15.0
1521978022425,1521978023000,31.16398897,34.53435343,175.0,0.6000000238418579,47.099998474121094,15.0
1521978023419,1521978024000,31.16399355,34.53435062,175.0,0.8700000047683716,47.099998474121094,15.0
1521978024418,1521978025000,31.16399922,34.53434924,176.0,0.8500000238418579,47.099998474121094,15.0
1521978025409,1521978026000,31.16400149,34.53434866,175.0,0.6200000047683716,47.099998474121094,15.0
1521978026415,1521978027000,31.16400489,34.53436388,177.0,1.059999942779541,47.20000076293945,15.0
1521978027419,1521978028000,31.1640044,34.53437472,177.0,0.25999999046325684,47.900001525878906,15.0
1521978028429,1521978029000,31.16400205,34.53438018,177.0,0.20999999344348907,49.0,16.0
1521978029414,1521978030000,31.16400141,34.5343845,177.0,0.27000001072883606,52.900001525878906,16.0
1521978030424,1521978031000,31.16399635,34.53442633,179.0,1.8600000143051147,55.20000076293945,14.0
1521978031416,1521978032000,31.16400423,34.53446515,180.0,2.180000066757202,56.599998474121094,14.0
1521978032413,1521978033000,31.16401547,34.5345046,180.0,2.3399999141693115,57.099998474121094,14.0
1521978033415,1521978034000,31.16402374,34.5345492,181.0,3.0799999237060547,56.900001525878906,13.0
1521978034423,1521978035000,31.16402956,34.53459722,180.0,3.2899999618530273,55.900001525878906,13.0
1521978035424,1521978036000,31.16404251,34.53464349,180.0,3.390000104904175,56.400001525878906,14.0
1521978036412,1521978037000,31.16405159,34.53468701,180.0,3.2300000190734863,57.20000076293945,14.0
1521978037415,1521978038000,31.16406143,34.53473094,180.0,3.4800000190734863,57.599998474121094,14.0
1521978038411,1521978039000,31.16406881,34.53477358,180.0,3.450000047683716,55.099998474121094,15.0
1521978039413,1521978040000,31.16407786,34.53481367,180.0,3.450000047683716,51.0,16.0
1521978040429,1521978041000,31.16408884,34.53485125,180.0,3.4700000286102295,45.20000076293945,19.0
1521978041417,1521978042000,31.16410122,34.53488686,180.0,3.5199999809265137,40.70000076293945,23.0
1521978042427,1521978043000,31.16411403,34.53492083,180.0,3.509999990463257,35.79999923706055,27.0
1521978043414,1521978044000,31.16412686,34.53495334,180.0,3.509999990463257,31.899999618530273,32.0
1521978101418,1521978102000,31.16337807,34.53537563,188.0,3.8299999237060547,163.6999969482422,43.0
1521978102416,1521978103000,31.16331088,34.53536609,190.0,3.3499999046325684,189.6999969482422,33.0
1521978103416,1521978104000,31.16327311,34.53534365,191.0,3.2200000286102295,205.60000610351562,30.0
1521978104419,1521978105000,31.16323897,34.53531289,188.0,3.240000009536743,223.1999969482422,28.0
1521978105423,1521978106000,31.16320962,34.53526567,185.0,4.170000076293945,230.0,28.0
1521978106420,1521978107000,31.16318271,34.53521338,184.0,4.460000038146973,232.0,26.0
1521978107416,1521978108000,31.16315725,34.53515951,184.0,4.940000057220459,233.0,25.0
1521978108423,1521978109000,31.16313983,34.53505355,184.0,5.0,258.5,24.0
1521978109421,1521978110000,31.16312279,34.53499337,184.0,6.110000133514404,265.3999938964844,24.0
1521978110423,1521978111000,31.16314081,34.53494816,183.0,5.380000114440918,271.1000061035156,23.0
1521978111414,1521978112000,31.16314607,34.53489338,183.0,5.489999771118164,269.79998779296875,22.0
1521978112410,1521978113000,31.16314273,34.53484008,183.0,5.380000114440918,269.20001220703125,21.0
1521978113420,1521978114000,31.1631734,34.53478969,183.0,5.440000057220459,275.6000061035156,20.0
1521978114416,1521978115000,31.16314418,34.53472879,184.0,5.420000076293945,276.70001220703125,18.0
1521978115417,1521978116000,31.16314363,34.53467602,184.0,5.380000114440918,278.0,17.0
1521978116408,1521978117000,31.16312171,34.5346269,184.0,5.190000057220459,276.70001220703125,17.0
1521978117417,1521978118000,31.16315068,34.53457717,184.0,4.829999923706055,278.8999938964844,17.0
1521978118410,1521978119000,31.1631428,34.53452707,184.0,4.769999980926514,277.5,17.0
1521978119420,1521978120000,31.1631487,34.53447754,184.0,4.769999980926514,277.6000061035156,18.0
1521978120419,1521978121000,31.1631426,34.53443515,184.0,4.369999885559082,273.1000061035156,17.0
1521978121414,1521978122000,31.16314102,34.53438997,184.0,4.46999979019165,273.20001220703125,18.0
1521978122422,1521978123000,31.16314519,34.53434286,184.0,4.429999828338623,273.29998779296875,19.0
1521978123410,1521978124000,31.16312754,34.53427746,184.0,4.809999942779541,273.20001220703125,18.0
1521978124419,1521978125000,31.1631519,34.53425373,184.0,4.710000038146973,276.1000061035156,18.0
1521978125418,1521978126000,31.16313206,34.53420733,184.0,4.820000171661377,273.3999938964844,18.0
1521978126424,1521978127000,31.16314644,34.53416045,184.0,4.650000095367432,276.29998779296875,18.0
1521978127417,1521978128000,31.16310971,34.53409109,184.0,4.679999828338623,227.6999969482422,20.0
1521978128419,1521978129000,31.16307627,34.53404143,184.0,4.769999980926514,223.0,22.0
1521978129435,1521978130000,31.16305036,34.53399822,184.0,4.809999942779541,217.3000030517578,23.0
1521978130423,1521978131000,31.16301498,34.53395795,184.0,4.78000020980835,209.8000030517578,19.0
1521978131414,1521978132000,31.16294054,34.53384899,185.0,5.070000171661377,247.6999969482422,19.0
1521978132416,1521978133000,31.16292896,34.53381407,186.0,4.659999847412109,246.6999969482422,18.0
1521978133418,1521978134000,31.16289502,34.53378007,186.0,4.320000171661377,240.10000610351562,18.0
1521978134422,1521978135000,31.16286586,34.53374897,185.0,4.130000114440918,235.5,19.0
1521978135414,1521978136000,31.16284537,34.53371366,185.0,4.099999904632568,235.1999969482422,21.0
1521978136412,1521978137000,31.16281232,34.53367718,185.0,4.070000171661377,229.5,21.0
