system_time,gps_time,latitude,longtide,altitude,sog,cog,accuracy
1521977427316,1521977427000,31.16463931,34.53258024,169.0,1.590000033378601,202.39999389648438,9.0
1521977427699,1521977428000,31.16465844,34.53261244,175.0,1.7899999618530273,204.0,9.0
1521977428711,1521977429000,31.16460742,34.53258716,173.0,2.7300000190734863,199.6999969482422,7.0
1521977429725,1521977430000,31.16459296,34.53258948,176.0,2.680000066757202,199.39999389648438,7.0
1521977430723,1521977431000,31.16458237,34.53257946,178.0,3.450000047683716,203.6999969482422,6.0
1521977431723,1521977432000,31.16453776,34.53255704,177.0,3.809999942779541,211.0,7.0
1521977432735,1521977433000,31.1644937,34.53254999,177.0,5.050000190734863,189.89999389648438,6.0
1521977433721,1521977434000,31.16444891,34.53253194,176.0,4.539999961853027,195.5,6.0
1521977434708,1521977435000,31.16442032,34.53252183,176.0,2.740000009536743,202.39999389648438,6.0
1521977435717,1521977436000,31.16438951,34.53251159,177.0,3.9000000953674316,197.3000030517578,6.0
1521977436717,1521977437000,31.1643737,34.53252386,177.0,2.5199999809265137,122.9000015258789,7.0
1521977437701,1521977438000,31.16435864,34.53249867,177.0,2.549999952316284,222.1999969482422,8.0
1521977438700,1521977439000,31.16435023,34.53246742,177.0,3.6700000762939453,242.0,8.0
1521977439711,1521977440000,31.16433073,34.53242872,177.0,3.430000066757202,239.0,9.0
1521977440713,1521977441000,31.16431045,34.53234941,176.0,5.869999885559082,249.10000610351562,8.0
1521977441701,1521977442000,31.16429584,34.53229713,176.0,5.46999979019165,250.8000030517578,8.0
1521977442696,1521977443000,31.16427864,34.53224234,176.0,5.449999809265137,248.5,9.0
1521977443708,1521977444000,31.16427081,34.53220764,176.0,4.400000095367432,246.6999969482422,10.0
1521977444708,1521977445000,31.16422741,34.53215701,176.0,5.260000228881836,241.3000030517578,10.0
1521977445708,1521977446000,31.16421064,34.5321062,176.0,5.159999847412109,240.8000030517578,10.0
1521977446711,1521977447000,31.16416963,34.5320415,177.0,5.449999809265137,232.5,9.0
1521977447704,1521977448000,31.16415445,34.53200204,178.0,5.119999885559082,233.89999389648438,10.0
1521977448704,1521977449000,31.16412888,34.53195295,177.0,4.920000076293945,238.6999969482422,11.0
1521977449702,1521977450000,31.16408443,34.53192946,179.0,4.5,241.60000610351562,10.0
1521977450714,1521977451000,31.16408224,34.53188495,178.0,4.679999828338623,246.60000610351562,9.0
1521977451719,1521977452000,31.16407604,34.53183173,179.0,5.059999942779541,257.29998779296875,8.0
1521977452712,1521977453000,31.16410794,34.5317859,179.0,4.820000171661377,290.29998779296875,7.0
1521977453720,1521977454000,31.16410802,34.53172355,178.0,5.0,293.5,6.0
1521977454725,1521977455000,31.16412518,34.53167648,181.0,5.070000171661377,294.20001220703125,6.0
1521977455725,1521977456000,31.16414658,34.53162991,182.0,5.150000095367432,291.0,6.0
1521977456728,1521977457000,31.16419945,34.53158441,186.0,5.46999979019165,290.0,4.0
1521977457711,1521977458000,31.16422505,34.53153086,186.0,5.46999979019165,288.20001220703125,4.0
1521977458722,1521977459000,31.16425103,34.53147757,187.0,5.579999923706055,287.5,3.0
1521977459733,1521977460000,31.16427574,34.53142992,186.0,5.420000076293945,286.6000061035156,3.0
1521977460719,1521977461000,31.16430431,34.53137626,187.0,5.25,283.70001220703125,3.0
1521977461727,1521977462000,31.16431132,34.53133214,186.0,5.039999961853027,280.20001220703125,3.0
1521977462720,1521977463000,31.16432097,34.53128023,186.0,4.869999885559082,276.70001220703125,3.0
1521977463713,1521977464000,31.16431878,34.5312315,187.0,4.849999904632568,274.70001220703125,3.0
1521977464730,1521977465000,31.16433356,34.53118914,187.0,4.71999979019165,272.0,3.0
1521977465732,1521977466000,31.1643306,34.53114108,186.0,4.679999828338623,269.29998779296875,3.0
1521977466728,1521977467000,31.16432309,34.5310886,184.0,4.880000114440918,265.79998779296875,3.0
1521977467721,1521977468000,31.16431775,34.53102817,185.0,5.380000114440918,263.29998779296875,3.0
1521977468705,1521977469000,31.16431835,34.53097855,185.0,5.840000152587891,265.20001220703125,3.0
1521977469715,1521977470000,31.16431934,34.53091286,186.0,6.019999980926514,267.6000061035156,3.0
1521977470722,1521977471000,31.16431087,34.53085436,187.0,5.949999809265137,266.5,4.0
1521977471725,1521977472000,31.1643146,34.53078864,187.0,6.03000020980835,267.70001220703125,4.0
1521977472707,1521977473000,31.16431282,34.53072504,187.0,6.170000076293945,270.29998779296875,4.0
1521977473708,1521977474000,31.16431538,34.53065264,186.0,6.349999904632568,274.70001220703125,4.0
1521977474716,1521977475000,31.16431547,34.5305956,184.0,6.480000019073486,277.0,4.0
1521977475726,1521977476000,31.1643184,34.53053441,183.0,6.25,281.0,4.0
1521977476703,1521977477000,31.16432938,34.53047008,183.0,6.25,284.20001220703125,5.0
1521977477723,1521977478000,31.164341,34.53042175,182.0,6.019999980926514,288.29998779296875,5.0
1521977478711,1521977479000,31.16435714,34.53036147,182.0,6.010000228881836,292.0,6.0
1521977479725,1521977480000,31.16436315,34.53032862,182.0,5.260000228881836,294.0,5.0
1521977480724,1521977481000,31.16438173,34.53028187,182.0,5.639999866485596,292.0,6.0
1521977481709,1521977482000,31.16440672,34.53021937,181.0,5.900000095367432,288.29998779296875,5.0
1521977482718,1521977483000,31.16442278,34.53016654,181.0,5.960000038146973,287.20001220703125,6.0
1521977483734,1521977484000,31.16443961,34.53010419,181.0,5.860000133514404,286.5,6.0
1521977484721,1521977485000,31.16445394,34.53003859,182.0,5.699999809265137,283.6000061035156,6.0
1521977485729,1521977486000,31.16446268,34.52997708,182.0,5.670000076293945,281.20001220703125,6.0
1521977486729,1521977487000,31.1644701,34.52991176,181.0,5.78000020980835,278.0,6.0
1521977487732,1521977488000,31.16447668,34.5298612,182.0,5.460000038146973,269.8999938964844,6.0
1521977488715,1521977489000,31.16447568,34.52980398,182.0,5.440000057220459,257.20001220703125,7.0
1521977489730,1521977490000,31.1644192,34.52974825,182.0,4.940000057220459,239.0,5.0
1521977490724,1521977491000,31.16441091,34.529718,184.0,3.490000009536743,229.60000610351562,5.0
1521977491706,1521977492000,31.16439739,34.5297012,184.0,1.1200000047683716,228.39999389648438,5.0
1521977492715,1521977493000,31.16440037,34.52970074,184.0,0.44999998807907104,227.8000030517578,5.0
1521977493698,1521977494000,31.16440314,34.52970421,184.0,0.44999998807907104,221.0,6.0
1521977494712,1521977495000,31.16442219,34.52972591,185.0,2.0899999141693115,196.10000610351562,5.0
1521977495725,1521977496000,31.16443173,34.52973187,185.0,1.6399999856948853,172.10000610351562,5.0
1521977496723,1521977497000,31.16444827,34.52974318,185.0,1.159999966621399,160.60000610351562,5.0
1521977497720,1521977498000,31.1644481,34.52973811,185.0,0.17000000178813934,159.1999969482422,5.0
1521977498709,1521977499000,31.16444628,34.52974108,186.0,1.190000057220459,155.10000610351562,5.0
1521977499717,1521977500000,31.16443094,34.52975418,186.0,2.1500000953674316,140.5,5.0
1521977500699,1521977501000,31.16442049,34.52977863,186.0,2.690000057220459,110.4000015258789,4.0
1521977501718,1521977502000,31.16441841,34.52981493,186.0,3.569999933242798,92.19999694824219,4.0
1521977502720,1521977503000,31.16442237,34.52985705,186.0,3.950000047683716,82.80000305175781,4.0
1521977503724,1521977504000,31.16443164,34.52990285,186.0,4.420000076293945,83.0,4.0
1521977504713,1521977505000,31.16443825,34.52995183,186.0,4.760000228881836,87.0999984741211,4.0
1521977505721,1521977506000,31.16444131,34.53000977,186.0,5.150000095367432,95.0,4.0
1521977506724,1521977507000,31.16443062,34.53006401,186.0,5.480000019073486,95.0,4.0
1521977507702,1521977508000,31.16442416,34.53012099,186.0,5.46999979019165,94.80000305175781,4.0
1521977508716,1521977509000,31.16440603,34.5301732,187.0,5.789999961853027,103.69999694824219,4.0
1521977509725,1521977510000,31.16438828,34.5302368,187.0,5.840000152587891,106.4000015258789,4.0
1521977510749,1521977511000,31.16437586,34.53029187,187.0,6.070000171661377,108.69999694824219,4.0
1521977511733,1521977512000,31.16435617,34.53035866,186.0,6.170000076293945,109.4000015258789,4.0
1521977512708,1521977513000,31.16432681,34.53041505,187.0,6.21999979019165,107.19999694824219,4.0
1521977513694,1521977514000,31.16430935,34.53047705,187.0,6.21999979019165,105.4000015258789,5.0
1521977514738,1521977515000,31.16429388,34.53054573,187.0,6.389999866485596,103.19999694824219,4.0
1521977515729,1521977516000,31.16431534,34.53061793,187.0,6.78000020980835,99.9000015258789,4.0
