GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027122418,16,0.000,0.000,-26559000.000,19.000,36.5,-181.237
1713027122418,14,0.000,0.000,-26559000.000,6.000,47.6,-308.191
1713027122418,13,0.000,0.000,-26559000.000,46.000,29.8,6.308
1713027122418,12,0.000,0.000,-26559000.000,6.000,47.6,478.958
1713027122418,11,0.000,0.000,-26559000.000,11.000,42.6,-75.260
1713027122418,9,0.000,0.000,-26559000.000,16.000,39.2,-270.728
1713027122418,6,0.000,0.000,-26559000.000,31.000,33.2,-238.888
1713027122418,5,0.000,0.000,-26559000.000,10.000,43.9,-11.484
1713027122418,10,0.000,0.000,-26559000.000,14.000,39.7,-391.682
1713027122418,12,0.000,0.000,-26559000.000,17.000,37.5,-258.693
1713027122418,19,263448.682,272809.096,26556292.117,35.000,32.2,-85.404
1713027122418,24,206553.958,318065.203,26556292.117,13.000,40.5,357.584
1713027122418,33,33053.752,377806.115,26556292.117,16.000,38.9,154.976
1713027122418,3,0.000,0.000,-26559000.000,8.000,33.2,-470.769
1713027122418,8,0.000,0.000,-26559000.000,5.000,37.6,202.028
1713027122418,27,91748.703,367983.949,26556292.117,6.000,35.7,567.938
1713027122418,28,85312.524,369529.139,26556292.117,23.000,23.1,-476.363
1713027122418,32,39642.344,377171.706,26556292.117,14.000,27.1,273.634
1713027122418,10,0.000,0.000,-26559000.000,6.000,35.9,-391.659
1713027122418,12,0.000,0.000,-26559000.000,10.000,30.5,-258.179
1713027122418,24,206553.958,318065.203,26556292.117,11.000,30.1,358.016
1713027122418,33,33053.752,377806.115,26556292.117,10.000,31.0,155.776
1713027122418,21,253767.296,281837.135,26556292.117,6.000,35.3,419.088
1713027122418,33,33053.752,377806.115,26556292.117,6.000,34.6,-480.372
1713027122418,34,13235.609,379018.245,26556292.117,7.000,33.5,237.193
1713027122418,39,0.000,0.000,-26559000.000,11.000,29.2,-120.705
1713027122418,42,1431909.638,10188566.485,24485163.442,8.000,33.2,-45.130
1713027122418,43,1786613.200,10132386.960,24485163.442,8.000,32.0,-302.177
1713027122418,21,253767.296,281837.135,26556292.117,3.000,44.7,419.107
1713027122418,33,33053.752,377806.115,26556292.117,7.000,36.2,-480.077
1713027122418,34,13235.609,379018.245,26556292.117,3.000,44.1,237.284
1713027122418,39,0.000,0.000,-26559000.000,5.000,40.1,-121.157
1713027122418,42,1431909.638,10188566.485,24485163.442,5.000,40.6,-46.136
1713027122418,43,1786613.200,10132386.960,24485163.442,3.000,45.9,-302.887
1713027123418,2,0.000,0.000,-26559000.000,8.000,46.7,-473.311
1713027123418,3,0.000,0.000,-26559000.000,9.000,45.3,-471.467
1713027123418,8,0.000,0.000,-26559000.000,5.000,51.1,202.433
1713027123418,10,0.000,0.000,-26559000.000,19.000,37.3,387.741
1713027123418,21,253767.296,281837.135,26556292.117,8.000,46.9,-315.296
1713027123418,27,91748.703,367983.949,26556292.117,12.000,42.1,568.121
1713027123418,28,85312.524,369529.139,26556292.117,17.000,38.6,-477.381
1713027123418,32,39642.344,377171.706,26556292.117,10.000,44.0,272.851
1713027123418,6,0.000,0.000,-26559000.000,16.000,38.6,-493.222
1713027123418,5,0.000,0.000,-26559000.000,11.000,42.4,329.274
1713027123418,20,258647.382,277365.360,26556292.117,35.000,31.0,-172.606
1713027123418,19,263448.682,272809.096,26556292.117,46.000,29.0,574.605
1713027123418,21,253767.296,281837.135,26556292.117,9.000,44.4,-719.918
1713027123418,4,0.000,0.000,-26559000.000,92.000,24.0,719.268
1713027123418,60,0.000,0.000,-26559000.000,12.000,41.6,-1.556
1713027123418,44,4670969.948,9167294.692,24485163.442,70.000,26.4,593.863
1713027123418,43,1786613.200,10132386.960,24485163.442,8.000,46.0,-302.497
1713027123418,42,1431909.638,10188566.485,24485163.442,6.000,49.0,-45.768
1713027123418,39,0.000,0.000,-26559000.000,21.000,35.9,-120.525
1713027123418,34,13235.609,379018.245,26556292.117,12.000,41.9,237.755
1713027123418,33,33053.752,377806.115,26556292.117,31.000,32.8,-479.840
1713027123418,21,253767.296,281837.135,26556292.117,7.000,46.5,419.501
1713027123418,16,0.000,0.000,-26559000.000,19.000,36.8,-181.242
1713027123418,14,0.000,0.000,-26559000.000,6.000,47.9,-308.149
1713027123418,13,0.000,0.000,-26559000.000,61.000,28.2,6.741
1713027123418,12,0.000,0.000,-26559000.000,6.000,47.8,479.075
1713027123418,11,0.000,0.000,-26559000.000,10.000,43.4,-75.083
1713027123418,9,0.000,0.000,-26559000.000,19.000,37.1,-270.537
1713027123418,6,0.000,0.000,-26559000.000,35.000,32.2,-238.667
1713027123418,5,0.000,0.000,-26559000.000,10.000,43.6,-10.742
1713027123418,2,0.000,0.000,-26559000.000,40.000,31.0,-10.994
