GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027122418,6,-0.000,-0.000,-26559000.000,21441860729453.664,37.7,-493.039
1713027122418,5,-0.000,-0.000,-26559000.000,21441862128259.492,43.5,328.976
1713027122418,20,-3145323.214,-3372946.198,26155509.110,21441862310613.050,29.5,-172.353
1713027122418,19,-3203710.194,-3317539.022,26155509.110,21441859719472.957,26.4,573.558
1713027122418,21,-3085978.138,-3427325.941,26155509.110,21441859329990.395,44.9,-719.988
1713027122418,60,-0.000,-0.000,-26559000.000,173617693923518.940,41.9,0.826
1713027122418,43,1577370.210,8945710.995,-24957296.308,173617710213600.470,46.6,-302.625
1713027122418,42,1264208.507,8995310.936,-24957296.308,173617710694613.000,48.0,-45.863
1713027122418,39,-0.000,-0.000,-26559000.000,173617693561115.160,36.7,-120.774
1713027122418,34,-160953.755,-4609112.502,26155509.110,173617710805365.030,41.9,237.556
1713027122418,33,-401955.484,-4594372.205,26155509.110,173617707507578.120,31.7,-479.657
1713027122418,21,-3085978.138,-3427325.941,26155509.110,173617709125116.120,45.5,419.366
1713027122418,16,8943895.105,23299643.334,-9083713.000,173617693354070.060,36.5,-181.237
1713027122418,14,8945710.972,24578138.896,-4611922.009,173617710016571.750,47.6,-308.191
1713027122418,13,-1157384.683,-13228967.466,-23000768.715,173617692986286.200,29.8,6.308
1713027122418,12,2608747.831,24820577.633,9083712.992,173617709011688.120,47.6,478.958
1713027122418,11,-20267954.053,1773216.213,17071796.149,173617711097385.660,42.6,-75.260
1713027122418,9,-0.000,0.000,-26559000.000,173617693353098.440,39.2,-270.728
1713027122418,6,-0.000,-0.000,-26559000.000,173617693971752.880,33.2,-238.888
1713027122418,5,-0.000,-0.000,-26559000.000,173617694938055.900,43.9,-11.484
1713027122418,10,-0.000,0.000,-26559000.000,173621903988916.940,39.7,-391.682
1713027122418,12,2608747.831,24820577.633,9083712.992,173621905308546.380,37.5,-258.693
1713027122418,19,-3203710.194,-3317539.022,26155509.110,173621906144738.600,32.2,-85.404
1713027122418,24,-2511832.726,-3867883.210,26155509.110,173621901315651.400,40.5,357.584
1713027122418,33,-401955.484,-4594372.205,26155509.110,173621905299547.500,38.9,154.976
1713027122418,3,-0.000,-0.000,-26559000.000,173621905612705.620,33.2,-470.769
1713027122418,8,-0.000,0.000,-26559000.000,173621908508330.220,37.6,202.028
1713027122418,27,-1115724.903,-4474928.168,26155509.110,173621907483247.470,35.7,567.938
1713027122418,28,-1037456.708,-4493718.700,26155509.110,173621905790823.700,23.1,-476.363
1713027122418,32,-482077.115,-4586657.370,26155509.110,173621908193786.750,27.1,273.634
1713027122418,10,-0.000,0.000,-26559000.000,173621903990824.800,35.9,-391.659
1713027122418,12,2608747.831,24820577.633,9083712.992,173621905310464.470,30.5,-258.179
1713027122418,24,-2511832.726,-3867883.210,26155509.110,173621901317555.380,30.1,358.016
1713027122418,33,-401955.484,-4594372.205,26155509.110,173621905301470.970,31.0,155.776
1713027122418,21,-3085978.138,-3427325.941,26155509.110,173617709127003.300,35.3,419.088
1713027122418,33,-401955.484,-4594372.205,26155509.110,173617707509451.800,34.6,-480.372
1713027122418,34,-160953.755,-4609112.502,26155509.110,173617710807254.000,33.5,237.193
1713027122418,39,-0.000,-0.000,-26559000.000,173617693563003.560,29.2,-120.705
1713027122418,42,1264208.507,8995310.936,-24957296.308,173617710696493.280,33.2,-45.130
1713027122418,43,1577370.210,8945710.995,-24957296.308,173617710215488.250,32.0,-302.177
1713027122418,21,-3085978.138,-3427325.941,26155509.110,173617709125094.530,44.7,419.107
1713027122418,33,-401955.484,-4594372.205,26155509.110,173617707507564.620,36.2,-480.077
1713027122418,34,-160953.755,-4609112.502,26155509.110,173617710805339.800,44.1,237.284
1713027122418,39,-0.000,-0.000,-26559000.000,173617693561088.470,40.1,-121.157
1713027122418,42,1264208.507,8995310.936,-24957296.308,173617710694586.000,40.6,-46.136
