system_time,#gps,#glonass,maxGPS_Cn0,maxGLONASS_Cn0,isGPSfix
1521984557037,11,0,0.0,-1.0,false
1521984558049,11,0,0.0,-1.0,false
1521984559031,11,0,0.0,-1.0,false
1521984560031,11,0,0.0,-1.0,false
1521984561055,11,0,0.0,-1.0,false
1521984562047,11,0,0.0,-1.0,false
1521984563049,11,0,0.0,-1.0,false
1521984564046,11,0,0.0,-1.0,false
1521984565058,11,0,0.0,-1.0,false
1521984566041,11,0,0.0,-1.0,false
1521984567039,11,0,0.0,-1.0,false
1521984568043,11,0,0.0,-1.0,false
1521984569048,11,0,0.0,-1.0,false
1521984570013,11,0,0.0,-1.0,false
1521984571044,11,0,0.0,-1.0,false
1521984572055,11,0,0.0,-1.0,false
1521984573039,11,0,0.0,-1.0,false
1521984574047,11,0,0.0,-1.0,false
1521984575041,11,0,0.0,-1.0,false
1521984576033,11,0,0.0,-1.0,false
1521984577044,11,0,0.0,-1.0,false
1521984578070,11,0,0.0,-1.0,false
1521984579031,11,0,0.0,-1.0,false
1521984580052,11,0,0.0,-1.0,false
1521984581043,11,0,0.0,-1.0,false
1521984582049,11,0,0.0,-1.0,false
1521984583035,11,0,0.0,-1.0,false
1521984584046,11,0,0.0,-1.0,false
1521984585043,11,0,0.0,-1.0,false
1521984586052,11,0,0.0,-1.0,false
1521984587056,11,0,0.0,-1.0,false
1521984588016,11,0,0.0,-1.0,false
1521984589055,11,0,0.0,-1.0,false
1521984590039,11,0,0.0,-1.0,false
1521984591046,11,0,0.0,-1.0,false
1521984592039,11,0,0.0,-1.0,false
1521984593039,11,0,0.0,-1.0,false
1521984594038,11,0,0.0,-1.0,false
1521984595047,11,0,0.0,-1.0,false
1521984596039,11,0,0.0,-1.0,false
1521984597039,11,0,0.0,-1.0,false
1521984598043,11,0,0.0,-1.0,false
1521984599058,11,0,0.0,-1.0,false
1521984600072,11,0,0.0,-1.0,false
1521984601070,11,0,0.0,-1.0,false
1521984602039,11,0,0.0,-1.0,false
1521984603039,11,0,0.0,-1.0,false
1521984604100,11,0,0.0,-1.0,false
1521984605026,11,0,0.0,-1.0,false
1521984606058,11,0,0.0,-1.0,false
1521984607042,11,0,0.0,-1.0,false
1521984608036,11,0,0.0,-1.0,false
1521984609073,11,0,0.0,-1.0,false
1521984610039,11,0,0.0,-1.0,false
1521984611045,11,0,0.0,-1.0,false
1521984612046,11,0,0.0,-1.0,false
1521984613017,11,0,0.0,-1.0,false
1521984614057,11,0,0.0,-1.0,false
1521984615046,11,0,0.0,-1.0,false
1521984616048,11,0,0.0,-1.0,false
1521984617057,11,0,0.0,-1.0,false
1521984618034,11,0,0.0,-1.0,false
1521984619063,11,0,0.0,-1.0,false
1521984620040,11,0,0.0,-1.0,false
1521984621043,11,0,0.0,-1.0,false
1521984622057,11,0,0.0,-1.0,false
1521984623039,11,0,0.0,-1.0,false
1521984624040,11,0,0.0,-1.0,false
1521984625043,11,0,0.0,-1.0,false
1521984626053,11,0,0.0,-1.0,false
1521984627047,11,0,0.0,-1.0,false
1521984628039,11,0,0.0,-1.0,false
1521984629053,11,0,0.0,-1.0,false
1521984630047,11,0,0.0,-1.0,false
1521984631039,11,0,0.0,-1.0,false
1521984632013,11,0,0.0,-1.0,false
1521984633056,11,0,0.0,-1.0,false
1521984634046,11,0,0.0,-1.0,false
1521984635053,11,0,0.0,-1.0,false
1521984636048,11,0,0.0,-1.0,false
1521984637040,11,0,0.0,-1.0,false
1521984638046,11,0,0.0,-1.0,false
1521984639052,11,0,0.0,-1.0,false
1521984640039,11,0,0.0,-1.0,false
1521984641041,11,0,0.0,-1.0,false
1521984642046,11,0,0.0,-1.0,false
1521984643046,11,0,0.0,-1.0,false
1521984644041,11,0,0.0,-1.0,false
1521984645052,11,0,0.0,-1.0,false
1521984646051,11,0,0.0,-1.0,false
1521984647035,11,0,0.0,-1.0,false
1521984648041,11,0,0.0,-1.0,false
1521984649046,11,0,0.0,-1.0,false
1521984650113,11,0,0.0,-1.0,false
1521984651039,11,0,0.0,-1.0,false
1521984652051,11,0,0.0,-1.0,false
1521984653046,11,0,0.0,-1.0,false
1521984654047,11,0,0.0,-1.0,false
1521984655042,11,0,0.0,-1.0,false
1521984656031,11,0,0.0,-1.0,false
1521984657051,11,0,0.0,-1.0,false
1521984658046,11,0,0.0,-1.0,false
1521984659042,11,0,0.0,-1.0,false
1521984660080,11,0,0.0,-1.0,false
1521984661048,11,0,0.0,-1.0,false
1521984662013,11,0,0.0,-1.0,false
1521984663045,11,0,0.0,-1.0,false
1521984664041,11,0,0.0,-1.0,false
1521984665052,11,0,0.0,-1.0,false
1521984666049,11,0,0.0,-1.0,false
1521984667087,11,0,0.0,-1.0,false
1521984668048,11,0,0.0,-1.0,false
1521984669039,11,0,0.0,-1.0,false
1521984670039,11,0,0.0,-1.0,false
1521984671052,11,0,0.0,-1.0,false
1521984672067,11,0,0.0,-1.0,false
1521984673039,11,0,0.0,-1.0,false
1521984674047,11,0,0.0,-1.0,false
1521984675054,11,0,0.0,-1.0,false
1521984676046,11,0,0.0,-1.0,false
1521984677104,11,0,0.0,-1.0,false
1521984678053,11,0,0.0,-1.0,false
1521984679047,11,0,0.0,-1.0,false
1521984680039,11,0,0.0,-1.0,false
1521984681047,11,0,0.0,-1.0,false
1521984682110,11,0,0.0,-1.0,false
1521984683046,11,0,0.0,-1.0,false
1521984684046,11,0,0.0,-1.0,false
1521984685058,11,0,0.0,-1.0,false
1521984686040,11,0,0.0,-1.0,false
1521984687037,11,0,0.0,-1.0,false
1521984688046,11,0,0.0,-1.0,false
1521984689052,11,0,0.0,-1.0,false
1521984690047,11,0,0.0,-1.0,false
1521984691045,11,0,0.0,-1.0,false
1521984692035,11,0,0.0,-1.0,false
1521984693038,11,0,0.0,-1.0,false
1521984694047,11,0,0.0,-1.0,false
1521984695038,11,0,0.0,-1.0,false
1521984696035,11,0,0.0,-1.0,false
1521984697058,11,0,0.0,-1.0,false
1521984698055,11,0,0.0,-1.0,false
1521984699120,11,0,0.0,-1.0,false
1521984700076,11,0,0.0,-1.0,false
1521984701045,11,0,0.0,-1.0,false
1521984702052,11,0,0.0,-1.0,false
1521984703060,11,0,0.0,-1.0,false
1521984704039,11,0,0.0,-1.0,false
1521984705044,11,0,0.0,-1.0,false
1521984706039,11,0,0.0,-1.0,false
