PRN 4 LOS PointD 2nd Delta,PRN 8 NLOS PointD 2nd Delta,PRN 9 NLOS PointD 2nd Delta
0.391245145,-11.81364528,3.202009223
0.156252306,-6.219512545,-0.280734763
-0.191895556,5.890704807,-2.843464892
0.136412419,-5.952714957,0.374948915
0.178063747,1.810591187,1.979592022
-0.11364853,-5.290902652,1.463452641
0.079714958,12.39194108,1.380494453
0.096818339,-3.140010558,0.367106151
0.003020909,-1.006003764,-3.936852895
0.16809037,-1.610257659,-0.691394083
0.322327316,0.986844473,0.21165432
-0.244558234,-0.289261412,0.571366541
0.070231367,0.589748155,1.022669576
0.111912947,0.382920917,1.09158745
0.02283996,-0.492411509,123.8914282
0.389090128,0.466097269,-157.9582979
0.100911044,-0.165008869,0.365696743
-0.172949687,-15.39374231,0.110281859
0.118508328,6.554186326,-0.092494804
0.310370296,6.876531329,17.81376407
2.034547135,-3.387508251,25.48507533
-1.872991487,16.50602838,-5.464566957
0.273608267,-5.274448626,0.478724748
-0.046833467,1.937469967,48.61308466
0.013747524,6.89062205,-49.34162504
0.087671105,14.7027243,-25.46184171
0.130127855,-4.021084882,27.20338921
0.140797008,-10.76891619,6.156597331
-0.116210476,-11.52587654,11.72256799
0.172846306,24.53223088,0.226726256
-0.147492576,-17.49004686,-0.797915131
0.37862879,-1.159320459,3.678376049
-0.208428524,-3.095131829,16.01746351
0.267284613,-3.389158379,-5.382544938
-0.112291403,-6.224637542,9.340707421
0.377087992,9.088326719,-25.54534291
-0.073733844,3.794786807,-4.340407573
0.004837412,0.583311353,25.372786
0.291285452,-12.39993981,-9.963778757
0.036146235,-19.73379137,-6.112096578
0.192526691,17.85688342,35.5052525
0.319253787,5.545425337,-9.759339418
-0.218221053,1.789871126,-9.560210716
0.055615753,-2.779089183,-7.658030868
0.012853462,1.948643655,-5.851196893
0.308949504,0.274775319,1.196318697
0.207636978,1.597551711,3.439220913
-0.240071252,-0.720835041,2.784579828
0.374199353,1.424125314,-0.401248932
-0.474079065,-0.052354772,-2.48134752
0.357419573,0.603333473,-1.767893616
0.298807204,-0.055027019,0.139792748
-0.590107866,-0.540738918,0.079453878
0.033894796,0.061300915,0.651691791
0.400697667,0.56369172,0.051725037
0.255369432,0.308395952,0.042233765
-0.159006294,-0.394693166,-0.086010501
0.391805578,0.178419851,-0.00886504
-0.037735138,-0.001041517,0.528478064
0.051578242,0.001208041,0.521618985
0.419244569,0.362950929,-0.377511941
-0.432227533,-0.369942162,-0.135385353
0.030381974,0.380257431,-0.158553679
0.018810432,0.159807675,0.282977082
0.039124899,0.014921512,0.711010709
-0.097497992,0.065038063,-0.088964004
0.240382284,-0.120256919,1.946160242
0.405049227,0.281534519,-2.442282781
-0.176765975,0.448218003,0.313562438
0.360881701,-0.203629732,
0.082689427,0.474285565,
-0.193830363,0.11261614,
0.186290722,-0.231456447,
-0.118644666,0.176046938,
2.314283174,-0.11623653,
-1.943410989,2.303926617,
0.141421024,-1.924561024,
,0.19227019,
